Player,Versus,StatGroup,Statistic,Per90,Percentile,BasedOnMinutes,scouting_period,,Goals
Cristiano Ronaldo,Forwards,Standard,npxG + xAG,0.48,63,360,2018 FIFA World Cup,,
Cristiano Ronaldo,Forwards,Standard,Shot-Creating Actions,3.5,82,360,2018 FIFA World Cup,,
Cristiano Ronaldo,Forwards,Standard,Passes Attempted,30.75,92,360,2018 FIFA World Cup,,
Cristiano Ronaldo,Forwards,Standard,Pass Completion %,80.5,85,360,2018 FIFA World Cup,,
Cristiano Ronaldo,Forwards,Standard,Progressive Passes,1,34,360,2018 FIFA World Cup,,
Cristiano Ronaldo,Forwards,Standard,Dribbles Completed,1.75,79,360,2018 FIFA World Cup,,
Cristiano Ronaldo,Forwards,Standard,Touches (Att Pen),3.25,27,360,2018 FIFA World Cup,,
Cristiano Ronaldo,Forwards,Standard,Progressive Passes Rec,5,37,360,2018 FIFA World Cup,,
Cristiano Ronaldo,Forwards,Standard,Tackles,0,6,360,2018 FIFA World Cup,,
Cristiano Ronaldo,Forwards,Standard,Interceptions,0,24,360,2018 FIFA World Cup,,
Cristiano Ronaldo,Forwards,Standard,Blocks,0.5,27,360,2018 FIFA World Cup,,
Cristiano Ronaldo,Forwards,Standard,Clearances,1,58,360,2018 FIFA World Cup,,
Cristiano Ronaldo,Forwards,Standard,Aerials won,2,37,360,2018 FIFA World Cup,,
Cristiano Ronaldo,Forwards,Standard,Non-Penalty Goals,0.91,97,2285,2017-2018 La Liga,,
Cristiano Ronaldo,Forwards,Standard,Non-Penalty xG,0.87,99,2285,2017-2018 La Liga,,
Cristiano Ronaldo,Forwards,Standard,Shots Total,6.85,99,2285,2017-2018 La Liga,,
Cristiano Ronaldo,Forwards,Standard,Assists,0.2,81,2285,2017-2018 La Liga,,
Cristiano Ronaldo,Forwards,Standard,xAG,0.2,82,2285,2017-2018 La Liga,,
Cristiano Ronaldo,Forwards,Standard,npxG + xAG,1.06,97,2285,2017-2018 La Liga,,
Cristiano Ronaldo,Forwards,Standard,Shot-Creating Actions,3.9,92,2285,2017-2018 La Liga,,
Cristiano Ronaldo,Forwards,Standard,Passes Attempted,31.08,77,2285,2017-2018 La Liga,,
Cristiano Ronaldo,Forwards,Standard,Pass Completion %,77.9,93,2285,2017-2018 La Liga,,
Cristiano Ronaldo,Forwards,Standard,Progressive Passes,1.97,79,2285,2017-2018 La Liga,,
Cristiano Ronaldo,Forwards,Standard,Dribbles Completed,1.22,68,2285,2017-2018 La Liga,,
Cristiano Ronaldo,Forwards,Standard,Touches (Att Pen),9.1,99,2285,2017-2018 La Liga,,
Cristiano Ronaldo,Forwards,Standard,Progressive Passes Rec,9.22,95,2285,2017-2018 La Liga,,
Cristiano Ronaldo,Forwards,Standard,Tackles,0.28,6,2285,2017-2018 La Liga,,
Cristiano Ronaldo,Forwards,Standard,Interceptions,0.24,36,2285,2017-2018 La Liga,,
Cristiano Ronaldo,Forwards,Standard,Blocks,0.39,19,2285,2017-2018 La Liga,,
Cristiano Ronaldo,Forwards,Standard,Clearances,0.55,38,2285,2017-2018 La Liga,,
Cristiano Ronaldo,Forwards,Standard,Aerials won,1.34,44,2285,2017-2018 La Liga,,
Cristiano Ronaldo,Forwards,Standard,Non-Penalty Goals,0.85,90,1170,2017-2018 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Non-Penalty xG,0.9,97,1170,2017-2018 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Shots Total,6,99,1170,2017-2018 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Assists,0.23,68,1170,2017-2018 Champions League,,
Cristiano Ronaldo,Forwards,Standard,xAG,0.25,84,1170,2017-2018 Champions League,,
