"Player","Versus","StatGroup","Statistic","Per90","Percentile","BasedOnMinutes","scouting_period"
"Vinicius Júnior","Att Mid / Wingers","Standard","Aerials won",0.46,52,194,"2019-2020 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Non-Penalty Goals",0.2,61,1364,"2019-2020 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Non-Penalty xG",0.28,86,1364,"2019-2020 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Shots Total",2.51,75,1364,"2019-2020 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Assists",0.07,18,1364,"2019-2020 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","xAG",0.22,84,1364,"2019-2020 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","npxG + xAG",0.51,93,1364,"2019-2020 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Shot-Creating Actions",4.16,80,1364,"2019-2020 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Passes Attempted",35.43,48,1364,"2019-2020 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Pass Completion %",76.9,65,1364,"2019-2020 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Progressive Passes",1.58,24,1364,"2019-2020 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Dribbles Completed",3.17,92,1364,"2019-2020 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Touches (Att Pen)",9.17,99,1364,"2019-2020 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Progressive Passes Rec",8.38,97,1364,"2019-2020 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Tackles",1.72,82,1364,"2019-2020 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Interceptions",0.2,8,1364,"2019-2020 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Blocks",0.92,59,1364,"2019-2020 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Clearances",0.13,10,1364,"2019-2020 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Aerials won",0.26,8,1364,"2019-2020 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Non-Penalty Goals",0.21,69,869,"2018-2019 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Non-Penalty xG",0.37,91,869,"2018-2019 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Shots Total",4.35,97,869,"2018-2019 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Assists",0,6,869,"2018-2019 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","xAG",0.16,51,869,"2018-2019 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","npxG + xAG",0.53,94,869,"2018-2019 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Shot-Creating Actions",4.45,87,869,"2018-2019 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Passes Attempted",32,28,869,"2018-2019 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Pass Completion %",72.5,44,869,"2018-2019 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Progressive Passes",1.66,16,869,"2018-2019 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Dribbles Completed",4.25,94,869,"2018-2019 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Touches (Att Pen)",8.6,99,869,"2018-2019 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Progressive Passes Rec",8.29,94,869,"2018-2019 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Tackles",1.04,33,869,"2018-2019 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Interceptions",0.73,55,869,"2018-2019 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Blocks",0.62,19,869,"2018-2019 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Clearances",0.1,3,869,"2018-2019 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Aerials won",0.1,4,869,"2018-2019 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Non-Penalty Goals",0,16,233,"2018-2019 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Non-Penalty xG",0.19,41,233,"2018-2019 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Shots Total",3.48,82,233,"2018-2019 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Assists",0.77,97,233,"2018-2019 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","xAG",0.27,67,233,"2018-2019 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","npxG + xAG",0.5,57,233,"2018-2019 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Shot-Creating Actions",5.79,89,233,"2018-2019 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Passes Attempted",27.42,21,233,"2018-2019 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Pass Completion %",74.6,38,233,"2018-2019 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Progressive Passes",1.55,13,233,"2018-2019 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Dribbles Completed",4.25,97,233,"2018-2019 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Touches (Att Pen)",8.11,96,233,"2018-2019 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Progressive Passes Rec",6.57,63,233,"2018-2019 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Tackles",2.32,83,233,"2018-2019 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Interceptions",0,3,233,"2018-2019 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Blocks",0.77,46,233,"2018-2019 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Clearances",0,9,233,"2018-2019 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Aerials won",0,10,233,"2018-2019 Champions League"
